n k length
0 0 1
1 0 1
1 1 1
10 0 1
10 1 4
10 10 1
10 2 6
10 3 7
10 4 8
10 5 8
10 6 8
10 7 7
10 8 6
10 9 4
11 0 1
11 1 4
11 10 4
11 11 1
11 2 6
11 3 8
11 4 9
11 5 9
11 6 9
11 7 9
11 8 8
11 9 6
12 0 1
12 1 4
12 10 7
12 11 4
12 12 1
12 2 7
12 3 8
12 4 9
12 5 10
12 6 10
12 7 10
12 8 9
12 9 8
13 0 1
13 1 4
13 10 9
13 11 7
13 12 4
13 13 1
13 2 7
13 3 9
13 4 10
13 5 11
13 6 11
13 7 11
13 8 11
13 9 10
14 0 1
14 1 4
14 10 10
14 11 9
14 12 7
14 13 4
14 14 1
14 2 7
14 3 9
14 4 10
14 5 11
14 6 12
14 7 12
14 8 12
14 9 11
15 0 1
15 1 4
15 10 12
15 11 11
15 12 9
15 13 7
15 14 4
15 15 1
15 2 7
15 3 9
15 4 11
15 5 12
15 6 13
15 7 13
15 8 13
15 9 13
16 0 1
16 1 5
16 10 13
16 11 13
16 12 11
16 13 10
16 14 7
16 15 5
16 16 1
16 2 7
16 3 10
16 4 11
16 5 13
16 6 13
16 7 14
16 8 14
16 9 14
17 0 1
17 1 5
17 10 15
17 11 14
17 12 13
17 13 12
17 14 10
17 15 8
17 16 5
17 17 1
17 2 8
17 3 10
17 4 12
17 5 13
17 6 14
17 7 15
17 8 15
17 9 15
18 0 1
18 1 5
18 10 16
18 11 15
18 12 15
18 13 14
18 14 12
18 15 10
18 16 8
18 17 5
18 18 1
18 2 8
18 3 10
18 4 12
18 5 14
18 6 15
18 7 15
18 8 16
18 9 16
19 0 1
19 1 5
19 10 17
19 11 17
19 12 16
19 13 15
19 14 14
19 15 12
19 16 10
19 17 8
19 18 5
19 19 1
19 2 8
19 3 10
19 4 12
19 5 14
19 6 15
19 7 16
19 8 17
19 9 17
2 0 1
2 1 2
2 2 1
20 0 1
20 1 5
20 10 18
20 11 18
20 12 17
20 13 17
20 14 16
20 15 14
20 16 13
20 17 11
20 18 8
20 19 5
20 2 8
20 20 1
20 3 11
20 4 13
20 5 14
20 6 16
20 7 17
20 8 17
20 9 18
21 0 1
21 1 5
21 10 19
21 11 19
21 12 19
21 13 18
21 14 17
21 15 16
21 16 15
21 17 13
21 18 11
21 19 8
21 2 8
21 20 5
21 21 1
21 3 11
21 4 13
21 5 15
21 6 16
21 7 17
21 8 18
21 9 19
22 0 1
22 1 5
22 10 20
22 11 20
22 12 20
22 13 19
22 14 19
22 15 18
22 16 17
22 17 15
22 18 13
22 19 11
22 2 8
22 20 8
22 21 5
22 22 1
22 3 11
22 4 13
22 5 15
22 6 17
22 7 18
22 8 19
22 9 19
23 0 1
23 1 5
23 10 21
23 11 21
23 12 21
23 13 21
23 14 20
23 15 19
23 16 18
23 17 17
23 18 16
23 19 14
23 2 8
23 20 11
23 21 8
23 22 5
23 23 1
23 3 11
23 4 14
23 5 16
23 6 17
23 7 18
23 8 19
23 9 20
24 0 1
24 1 5
24 10 21
24 11 22
24 12 22
24 13 22
24 14 21
24 15 21
24 16 20
24 17 19
24 18 18
24 19 16
24 2 9
24 20 14
24 21 11
24 22 9
24 23 5
24 24 1
24 3 11
24 4 14
24 5 16
24 6 18
24 7 19
24 8 20
24 9 21
25 0 1
25 1 5
25 10 22
25 11 23
25 12 23
25 13 23
25 14 23
25 15 22
25 16 21
25 17 21
25 18 19
25 19 18
25 2 9
25 20 16
25 21 14
25 22 12
25 23 9
25 24 5
25 25 1
25 3 12
25 4 14
25 5 16
25 6 18
25 7 19
25 8 21
25 9 21
26 0 1
26 1 5
26 10 23
26 11 23
26 12 24
26 13 24
26 14 24
26 15 23
26 16 23
26 17 22
26 18 21
26 19 20
26 2 9
26 20 18
26 21 17
26 22 14
26 23 12
26 24 9
26 25 5
26 26 1
26 3 12
26 4 14
26 5 17
26 6 18
26 7 20
26 8 21
26 9 22
27 0 1
27 1 5
27 10 24
27 11 24
27 12 25
27 13 25
27 14 25
27 15 25
27 16 24
27 17 24
27 18 23
27 19 22
27 2 9
27 20 20
27 21 19
27 22 17
27 23 15
27 24 12
27 25 9
27 26 5
27 27 1
27 3 12
27 4 15
27 5 17
27 6 19
27 7 20
27 8 22
27 9 23
28 0 1
28 1 5
28 10 24
28 11 25
28 12 25
28 13 26
28 14 26
28 15 26
28 16 25
28 17 25
28 18 24
28 19 23
28 2 9
28 20 22
28 21 21
28 22 19
28 23 17
28 24 15
28 25 12
28 26 9
28 27 5
28 28 1
28 3 12
28 4 15
28 5 17
28 6 19
28 7 21
28 8 22
28 9 23
29 0 1
29 1 5
29 10 25
29 11 26
29 12 26
29 13 27
29 14 27
29 15 27
29 16 27
29 17 26
29 18 26
29 19 25
29 2 9
29 20 24
29 21 23
29 22 21
29 23 19
29 24 17
29 25 15
29 26 12
29 27 9
29 28 5
29 29 1
29 3 12
29 4 15
29 5 17
29 6 19
29 7 21
29 8 23
29 9 24
3 0 1
3 1 2
